ENTRY	DEFINITION	EC
K15982	3-ketosteroid 9alpha-monooxygenase subunit A	1.14.15.30
K15983	3-ketosteroid 9alpha-monooxygenase subunit B	1.14.15.30
K15984	16S rRNA (guanine1516-N2)-methyltransferase	2.1.1.242
K15985	cAMP-dependent protein kinase inhibitor alpha
K15986	manganese-dependent inorganic pyrophosphatase	3.6.1.1
K15987	K(+)-stimulated pyrophosphate-energized sodium pump
K15988	tylactone synthase 1
K15989	tylactone mycaminosyltransferase	2.4.1.316
K15990	tylactone mycaminosyltransferase auxiliary protein
K15991	20-oxo-5-O-mycaminosyltylactone 23-monooxygenase	1.14.15.34
K15992	cytochrome P450 TylI
K15993	O-mycaminosyltylonolide 6-deoxyallosyltransferase	2.4.1.317
K15994	demethyllactenocin mycarosyltransferase	2.4.1.318
K15995	demethylmacrocin O-methyltransferase	2.1.1.102
K15996	macrocin O-methyltransferase	2.1.1.101
K15997	3-alpha-mycarosylerythronolide B desosaminyl transferase auxiliary protein
K15998	TDP-megosamine glycosyltransferase
K15999	mycarose O-acyltransferase
K16000	narbonolide/10-deoxymethynolide synthase	2.3.1.240 2.3.1.239
K16001	narbonolide/10-deoxymethynolide synthase	2.3.1.240 2.3.1.239
K16002	narbonolide/10-deoxymethynolide synthase	2.3.1.240 2.3.1.239
K16003	narbonolide synthase	2.3.1.240
K16004	narbonolide/10-deoxymethynolide desosaminyltransferase	2.4.1.277
K16005	narbonolide/10-deoxymethynolide desosaminyltransferase auxiliary protein
K16006	pikromycin synthase	1.14.15.33
K16007	8,8a-deoxyoleandolide synthase 1
K16008	cytochrome P450 monooxygenase OleP
K16009	glycosyltransferase OleGII
K16010	desosaminyltransferase OleGI
K16011	mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase	2.7.7.13 5.3.1.8
K16012	ATP-binding cassette, subfamily C, bacterial CydC
K16013	ATP-binding cassette, subfamily C, bacterial CydD
K16014	ATP-binding cassette, subfamily C, bacterial CydCD
K16015	oxidoreductase	1.1.1.-
K16016	3-amino-5-hydroxybenzoate synthase	4.2.1.144 2.6.1.-
K16017	AHBA synthesis associated protein
K16018	kanosamine 6-kinase	2.7.1.179
K16019	3,4-Dideoxy-4-amino-D-arabino-heptulosonate 7-phosphate synthase
K16020	5-deoxy-5-amino-3-dehydroquinate synthase
K16021	5-deoxy-5-amino-3-dehydroquinate dehydratase
K16022	flavoprotein hydroxylase
K16023	acetyltransferase
K16024	methoxymalonate biosynthesis protein
K16025	methoxymalonate biosynthesis acyl carrier protein
K16026	methoxymalonate biosynthesis protein
K16027	methoxymalonate biosynthesis protein
K16028	O-methyltransferase
K16029	ansamitocin polyketide synthase A
K16030	ansamitocin polyketide synthase B
K16031	ansamitocin polyketide synthase C
K16032	ansamitocin polyketide synthase D
K16033	FADH2-dependent halogenase
K16034	20-O-methyltransferase
K16035	7-O-carbamoyltransferase	2.1.3.-
K16036	3-O-acyltransferase
K16037	4,5-epoxidase
K16038	N-methyltransferase	2.1.1.-
K16039	N-glycosyltransferase	2.4.1.-
K16040	trans-resveratrol di-O-methyltransferase	2.1.1.240
K16041	non-LEE-encoded effector NleA
K16042	non-LEE-encoded effector NleH
K16043	scyllo-inositol 2-dehydrogenase (NAD+)	1.1.1.370
K16044	scyllo-inositol 2-dehydrogenase (NADP+)	1.1.1.371
K16045	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase	1.1.1.145 5.3.3.1
K16046	cholest-4-en-3-one 26-monooxygenase	1.14.15.28
K16047	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase	1.14.14.12
K16048	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase reductase component	1.5.1.-
K16049	3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase	1.13.11.25
K16050	4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase	3.7.1.17
K16051	3-oxo-5alpha-steroid 4-dehydrogenase	1.3.99.5
K16052	MscS family membrane protein
K16053	miniconductance mechanosensitive channel
K16054	methylthioribulose 1-phosphate dehydratase / enolase-phosphatase E1	4.2.1.109 3.1.3.77
K16055	trehalose 6-phosphate synthase/phosphatase	2.4.1.15 3.1.3.12
K16056	calcium release-activated calcium channel protein 1
K16057	calcium release-activated calcium channel protein 2
K16058	calcium release-activated calcium channel protein 3
K16059	stromal interaction molecule 1
K16060	baculoviral IAP repeat-containing protein 2/3
K16061	baculoviral IAP repeat-containing protein 7/8
K16062	C-C motif chemokine 21
K16063	E3 SUMO-protein ligase PIAS2	2.3.2.-
K16064	E3 SUMO-protein ligase PIAS3	2.3.2.-
K16065	E3 SUMO-protein ligase PIAS4	2.3.2.27
K16066	3-hydroxy acid dehydrogenase / malonic semialdehyde reductase	1.1.1.381 1.1.1.-
K16067	disintegrin and metalloproteinase domain-containing protein 11	3.4.24.-
K16068	disintegrin and metalloproteinase domain-containing protein 22	3.4.24.-
K16069	disintegrin and metalloproteinase domain-containing protein 29	3.4.24.-
K16070	disintegrin and metalloproteinase domain-containing protein 32	3.4.24.-
K16071	disintegrin and metalloproteinase domain-containing protein 7	3.4.24.-
K16072	ELKS/RAB6-interacting/CAST family member 1
K16073	magnesium transporter
K16074	zinc transporter
K16075	magnesium transporter
K16076	outer membrane porin protein LC
K16077	sucrose porin
K16078	attachment invasion locus protein
K16079	outer membrane immunogenic protein
K16080	high affinity Mn2+ porin
K16081	alginate production protein
K16082	ent-isokaurene synthase	4.2.3.103
K16083	ent-isokaurene hydroxylase	1.14.14.76
K16084	ent-cassa-12,15-diene 11-hydroxylase / oryzalexin D synthase	1.14.14.112 1.14.14.123
K16085	9beta-pimara-7,15-diene oxidase	1.14.14.111
K16086	(13E)-labda-7,13-dien-15-ol synthase	3.1.7.10
K16087	hemoglobin/transferrin/lactoferrin receptor protein
K16088	outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid
K16089	outer membrane receptor for ferrienterochelin and colicins
K16090	catecholate siderophore receptor
K16091	Fe(3+) dicitrate transport protein
K16092	vitamin B12 transporter
K16093	bacitracin synthase 1
K16094	bacitracin synthase 2
K16095	bacitracin synthase 3
K16096	gramicidin S synthase 1
K16097	gramicidin S synthase 2
K16098	nonribosomal peptide synthetase protein VioF
K16099	nonribosomal peptide synthetase protein VioA
K16100	nonribosomal peptide synthetase protein VioI
K16101	nonribosomal peptide synthetase protein VioG
K16102	nonribosomal peptide synthetase protein VioO
K16103	nonribosomal peptide synthetase protein VioM
K16104	2,3-diaminopropionyl alpha,beta-desaturase
K16105	carbamoyltransferase
K16106	nonribosomal peptide synthetase protein BlmVI
K16107	nonribosomal peptide synthetase protein BlmV
K16108	nonribosomal peptide synthetase protein BlmX
K16109	nonribosomal peptide synthetase protein BlmIX
K16110	nonribosomal peptide synthetase protein BlmVIII
K16111	nonribosomal peptide synthetase protein BlmVII
K16112	nonribosomal peptide synthetase protein BlmIV
K16113	nonribosomal peptide synthetase protein BlmIII
K16114	glycosyl transferase protein BlmE
K16115	glycosyl transferase / beta-hydroxylase protein BlmF
K16116	pristinamycin I synthetase 1
K16117	pristinamycin I synthase 2
K16118	pristinamycin I synthase 3 and 4
K16119	lichenysin synthetase A
K16120	lichenysin synthetase B
K16121	lichenysin synthetase C
K16122	tyrocidine synthetase I
K16123	tyrocidine synthetase II
K16124	tyrocidine synthetase III
K16125	syringomycin synthetase protein SyrE
K16126	Syringomycin synthetase protein SyrB1
K16127	microcystin synthetase protein McyG
K16128	microcystin synthetase protein McyD
K16129	microcystin synthetase protein McyE
K16130	microcystin synthetase protein McyA
K16131	microcystin synthetase protein McyB
K16132	microcystin synthetase protein McyC
K16133	microcystin synthetase protein McyI
K16134	microcystin synthetase protein McyJ
K16135	LysR family transcriptional regulator, transcriptional activator for dmlA
K16136	LacI family transcriptional regulator, maltose regulon regulatory protein
K16137	TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
K16138	TetR/AcrR family transcriptional regulator, repressor for uid operon
K16139	glucuronide carrier protein
K16140	putative glucuronide porin
K16141	serum albumin
K16142	haptoglobin
K16143	C-reactive protein
K16144	alpha-fetoprotein
K16145	mucin-16
K16146	maltokinase	2.7.1.175
K16147	starch synthase (maltosyl-transferring)	2.4.99.16
K16148	alpha-maltose-1-phosphate synthase	2.4.1.342
K16149	1,4-alpha-glucan branching enzyme	2.4.1.18
K16150	glycogen synthase	2.4.1.11
K16151	hemoglobin subunit delta
K16152	heme acquisition protein HasR
K16153	glycogen phosphorylase/synthase	2.4.1.1 2.4.1.11
K16157	methane monooxygenase component A alpha chain	1.14.13.25
K16158	methane monooxygenase component A beta chain	1.14.13.25
K16159	methane monooxygenase component A gamma chain	1.14.13.25
K16160	methane monooxygenase regulatory protein B
K16161	methane monooxygenase component C	1.14.13.25
K16162	methane monooxygenase component D
K16163	maleylpyruvate isomerase	5.2.1.4
K16164	acylpyruvate hydrolase	3.7.1.5
K16165	fumarylpyruvate hydrolase	3.7.1.20
K16166	transcription factor MYB75
K16167	alkylresorcinol/alkylpyrone synthase
K16168	methyltransferase
K16169	xanthine permease
K16170	uric acid permease
K16171	fumarylacetoacetate (FAA) hydrolase	3.7.1.2
K16172	insulin receptor substrate 1
K16173	glutaryl-CoA dehydrogenase (non-decarboxylating)	1.3.99.32
K16174	small subunit ribosomal protein S18b, mitochondrial
K16175	protein scribble
K16176	methylamine---corrinoid protein Co-methyltransferase	2.1.1.248
K16177	monomethylamine corrinoid protein
K16178	dimethylamine---corrinoid protein Co-methyltransferase	2.1.1.249
K16179	dimethylamine corrinoid protein
K16180	methylornithine synthase	5.4.99.58
K16181	3-methylornithine--L-lysine ligase	6.3.2.-
K16182	3-methylornithyl-N6-L-lysine dehydrogenase	1.4.1.-
K16183	methylamine methyltransferase corrinoid activation protein
K16184	proline-rich AKT1 substrate 1
K16185	Ras-related GTP-binding protein A/B
K16186	Ras-related GTP-binding protein C/D
K16188	tetraprenyl-beta-curcumene synthase	4.2.3.130
K16189	phytochrome-interacting factor 4
K16190	glucuronokinase	2.7.1.43
K16191	peptidoglycan-binding protein ArfA
K16192	uncharacterized membrane protein ArfB
K16193	uncharacterized membrane protein ArfC
K16194	eukaryotic translation initiation factor 2-alpha kinase 1	2.7.11.1
K16195	eukaryotic translation initiation factor 2-alpha kinase 2	2.7.11.1
K16196	eukaryotic translation initiation factor 2-alpha kinase 4	2.7.11.1
K16197	14-3-3 protein beta/theta/zeta
K16198	14-3-3 protein gamma/eta
K16199	dipeptide transport system substrate-binding protein
K16200	dipeptide transport system permease protein
K16201	dipeptide transport system permease protein
K16202	dipeptide transport system ATP-binding protein
K16203	D-amino peptidase	3.4.11.-
K16204	seco-amyrin synthase	5.4.99.52 5.4.99.54
K16205	tirucalladienol synthase	5.4.99.56
K16206	baruol synthase	5.4.99.57
K16207	marneral synthase	5.4.99.53
K16208	lupeol synthase 5	5.4.99.-
K16209	lactose/raffinose/galactose permease
K16210	oligogalacturonide transporter
K16211	maltose/moltooligosaccharide transporter
K16212	4-O-beta-D-mannosyl-D-glucose phosphorylase	2.4.1.281
K16213	cellobiose epimerase	5.1.3.11
K16214	UDP-N-acetylglucosamine kinase	2.7.1.176
K16215	2-ketoarginine methyltransferase	2.1.1.243
K16216	benzil reductase ((S)-benzoin forming)	1.1.1.320
K16217	geranyl diphosphate 2-C-methyltransferase	2.1.1.255
K16218	2-methylisoborneol synthase	4.2.3.118
K16219	protein N-terminal methyltransferase	2.1.1.244
K16220	HCLS1-associated protein X-1
K16221	transcription factor TCP21 (protein CCA1 HIKING EXPEDITION)
K16222	Dof zinc finger protein DOF5.5
K16223	protein FLOWERING LOCUS T
K16224	senescence-induced receptor-like serine/threonine-protein kinase
K16225	probable WRKY transcription factor 52
K16226	disease resistance protein RPS4
K16227	glycopeptidolipid biosynthesis protein
K16228	glycopeptidolipid biosynthesis protein
K16229	glycopeptidolipid biosynthesis protein
K16230	transcriptional activator HAC1
K16231	fungal type III polyketide synthase
K16232	germicidin synthase
K16233	alpha-pyrone synthase
K16234	histidine transporter
K16235	S-methylmethionine transporter
K16236	histidine permease
K16237	aromatic amino acid permease
K16238	ethanolamine permease
K16239	4-hydroxybenzoate decarboxylase subunit C	4.1.1.61
K16240	protein suppressor of PHYA-105 1
K16241	transcription factor HY5
K16242	phenol/toluene 2-monooxygenase (NADH) P3/A3	1.14.13.244 1.14.13.243
K16243	phenol/toluene 2-monooxygenase (NADH) P1/A1	1.14.13.244 1.14.13.243
K16244	phenol/toluene 2-monooxygenase (NADH) P2/A2	1.14.13.244 1.14.13.243
K16245	phenol/toluene 2-monooxygenase (NADH) P4/A4	1.14.13.244 1.14.13.243
K16246	phenol/toluene 2-monooxygenase (NADH) P5/A5	1.14.13.244 1.14.13.243
K16247	LuxR family transcriptional regulator, glucitol operon activator
K16248	probable glucitol transport protein GutA
K16249	phenol/toluene 2-monooxygenase (NADH) P0/A0
K16250	DNA-directed RNA polymerase IV subunit 1	2.7.7.6
K16251	DNA-directed RNA polymerase V subunit 1	2.7.7.6
K16252	DNA-directed RNA polymerase IV and V subunit 2	2.7.7.6
K16253	DNA-directed RNA polymerase IV and V subunit 7
K16254	mxaJ protein
K16255	cytochrome c-L
K16256	mxaA protein
K16257	mxaC protein
K16258	mxaK protein
K16259	mxaL protein
K16260	mxaD protein
K16261	yeast amino acid transporter
K16262	polyamine:H+ symporter
K16263	amino acid efflux transporter
K16264	cobalt-zinc-cadmium efflux system protein
K16265	(E)-2-methylbutanal oxime monooxygenase	1.14.14.41
K16266	cyanohydrin UDP-glucosyltransferase	2.4.1.-
K16267	zinc and cadmium transporter
K16268	benzene/toluene/chlorobenzene dioxygenase subunit beta	1.14.12.3 1.14.12.11 1.14.12.26
K16269	cis-1,2-dihydrobenzene-1,2-diol/chlorobenzene dihydrodiol dehydrogenase	1.3.1.19 1.3.1.119
K16270	3-methylcatechol 2,3-dioxygenase	1.13.11.-
K16271	E3 ubiquitin-protein ligase RLIM	2.3.2.27
K16272	E3 ubiquitin-protein ligase RNF135	2.3.2.27
K16273	E3 ubiquitin-protein ligase ZNRF3	2.3.2.27
K16274	E3 ubiquitin-protein ligase AIP2	2.3.2.27
K16275	E3 ubiquitin-protein ligase BAH	2.3.2.27
K16276	zinc finger protein-like protein
K16277	E3 ubiquitin-protein ligase DRIP	2.3.2.27
K16278	E3 ubiquitin-protein ligase HOS1	2.3.2.27
K16279	E3 ubiquitin-protein ligase KEG	2.7.11.1 2.3.2.27
K16280	E3 ubiquitin-protein ligase RGLG	2.3.2.27
K16281	RING-H2 zinc finger protein RHA1
K16282	E3 ubiquitin-protein ligase RHA2	2.3.2.27
K16283	E3 ubiquitin-protein ligase SDIR1	2.3.2.27
K16284	E3 ubiquitin-protein ligase SIS3	2.3.2.27
K16285	RING/U-box domain-containing protein	2.3.2.27
K16286	E3 ubiquitin-protein ligase EL5	2.3.2.27
K16287	ubiquitin-like-specific protease 1C/D	3.4.22.68
K16288	dual serine/threonine and tyrosine protein kinase	2.7.12.1
K16289	ankyrin repeat and protein kinase domain-containing protein 1	2.7.11.1
K16290	xylem cysteine proteinase	3.4.22.-
K16291	L,D-transpeptidase ErfK/SrfK
K16292	KDEL-tailed cysteine endopeptidase	3.4.22.-
K16293	polysulfide reductase chain B
K16294	polysulfide reductase chain C
K16295	cytochrome b ascorbate-dependent protein 3
K16296	serine carboxypeptidase-like clade I	3.4.16.-
K16297	serine carboxypeptidase-like clade II	3.4.16.-
K16298	serine carboxypeptidase-like clade IV	3.4.16.-
K16301	deferrochelatase/peroxidase EfeB	1.11.1.-
K16302	metal transporter CNNM
K16303	p-cumate 2,3-dioxygenase subunit beta	1.14.12.25
K16304	p-cumate 2,3-dioxygenase ferredoxin component
K16305	fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase	4.1.2.13 2.2.1.11
K16306	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase	4.1.2.13 2.2.1.10
K16307	serine/threonine-protein kinase MRCK	2.7.11.1
K16308	citron Rho-interacting kinase	2.7.11.1
K16309	serine/threonine-protein kinase greatwall	2.7.11.1
K16310	serine/threonine-protein kinase NIM1	2.7.11.1
K16311	serine/threonine-protein kinase SIK2	2.7.11.1
K16312	serine/threonine-protein kinase 40	2.7.11.1
K16313	Nik-related protein kinase	2.7.11.1
K16314	serine/threonine-protein kinase ELM1	2.7.11.1
K16315	serine/threonine-protein kinase haspin	2.7.11.1
K16316	serine/threonine-protein kinase 31	2.7.11.1
K16317	tRNA (pseudouridine54-N1)-methyltransferase	2.1.1.257
K16318	tRNA (guanine6-N2)-methyltransferase	2.1.1.256
K16319	anthranilate 1,2-dioxygenase large subunit	1.14.12.1
K16320	anthranilate 1,2-dioxygenase small subunit	1.14.12.1
K16321	high-affinity gluconate transporter
K16322	low-affinity inorganic phosphate transporter
K16323	purine nucleoside transport protein
K16324	putative pseudouridine transporter
K16325	nucleoside permease
K16326	CRP/FNR family transcriptional regulator, putaive post-exponential-phase nitrogen-starvation regulator
K16327	putative LysE/RhtB family amino acid efflux pump
K16328	pseudouridine kinase	2.7.1.83
K16329	pseudouridylate synthase	4.2.1.70
K16330	pseudouridylate synthase / pseudouridine kinase	4.2.1.70 2.7.1.83
K16331	sulfate permease
K16332	retinoblastoma-like protein 2
K16333	CREB-regulated transcription coactivator 2
K16334	CREB-regulated transcription coactivator 3
K16335	CREB-regulated transcription coactivator
K16336	syndecan 2
K16337	syndecan 3
K16338	syndecan 4
K16339	acyl-coenzyme A thioesterase THEM4	3.1.2.2
K16340	PH domain and leucine-rich repeat-containing protein phosphatase	3.1.3.16
K16341	Bcl-2-like protein 11
K16342	cytosolic phospholipase A2	3.1.1.4
K16343	calcium-independent phospholipase A2	3.1.1.4
K16344	ragulator complex protein LAMTOR5
K16345	xanthine permease XanP
K16346	xanthine permease XanQ
K16347	entericidin A
K16348	entericidin B
K16349	natural cytotoxicity triggering receptor 3 ligand 1
K16350	T-cell immunoreceptor with Ig and ITIM domains
K16351	netrin-G2 ligand
K16352	sialic acid binding Ig-like lectin 15
K16353	protein sidekick
K16354	leucine-rich repeat and fibronectin type-III domain-containing protein 1
K16355	leucine-rich repeat and fibronectin type-III domain-containing protein 2
K16356	leucine-rich repeat and fibronectin type-III domain-containing protein 3
K16357	leucine-rich repeat and fibronectin type-III domain-containing protein 4
K16358	leucine-rich repeat and fibronectin type-III domain-containing protein 5
K16359	netrin-G2
K16360	netrin-G3 ligand
K16361	cytotoxic and regulatory T-cell molecule
K16362	leucine-rich repeat transmembrane protein FLRT
K16363	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase	3.5.1.108 4.2.1.59
K16364	gliomedin
K16365	small glutamine-rich tetratricopeptide repeat-containing protein alpha
K16366	endothelin-1
K16367	endothelin-2
K16368	diacylglycerol kinase (CTP)	2.7.1.174
K16369	phosphatidylethanolamine N-methyltransferase	2.1.1.17
K16370	6-phosphofructokinase 2	2.7.1.11
K16371	D-tagatose-1,6-bisphosphate aldolase subunit GatZ/KbaZ
K16372	niddamycin polyketide synthase 1
K16373	niddamycin polyketide synthase 3
K16374	niddamycin polyketide synthase 4/5
K16375	polyketide synthase FkbB
K16376	polyketide synthase FkbC
K16377	polyketide synthase FkbA
K16378	pipecolate-incorporating enzyme
K16379	cytochrome P450 C-9 hydroxylase
K16380	cytochrome P450 RapN
K16381	31-O-methyltransferase
K16382	polyene macrolide polyketide synthase, loading module
K16383	polyene macrolide polyketide synthase, A-type KR domains
K16384	polyene macrolide polyketide synthase
K16385	polyene macrolide polyketide synthase, KS-AT-KR-ACP domains
K16386	polyene macrolide polyketide synthase
K16387	polyene macrolide polyketide synthase
K16388	polyene glycosyltransferase
K16389	cytochrome P450 monooxygenase
K16390	cytochrome P450 monooxygenase
K16391	pimaricinolide synthase, loading module
K16392	candicidin polyketide synthase FscA
K16393	candicidin polyketide synthase FscB
K16394	epothilone polyketide synthase A
K16395	epothilone synthetase B
K16396	epothilone polyketide synthase C
K16397	epothilone polyketide synthase D
K16398	epothilone polyketide synthase E
K16399	epothilone polyketide synthase F
K16400	cytochrome P450 enzyme
K16401	soraphen polyketide synthase A
K16402	soraphen polyketide synthase B
K16403	O-methyltransferase
K16404	reductase
K16405	stigmatellin polyketide synthase StiA
K16406	stigmatellin polyketide synthase StiB
K16407	stigmatellin polyketide synthase StiC
K16408	stigmatellin polyketide synthase StiD
K16409	stigmatellin polyketide synthase StiE
K16410	stigmatellin polyketide synthase StiF
K16411	stigmatellin polyketide synthase StiG
K16412	stigmatellin polyketide synthase StiH
K16413	stigmatellin polyketide synthase StiJ
K16414	methyltransferase
K16415	cytochrome P450 dependent monooxygenase
K16416	myxalamid-type nonribosomal peptide synthetase MxaA
K16417	myxalamid-type polyketide synthase MxaC
K16418	mycolactone core lactone polyketide synthase MlsA1
K16419	mycolactone side chain polyketide synthase
K16420	rapamycin polyketide synthase A/B/C
K16421	4-hydroxymandelate synthase	1.13.11.46
K16422	4-hydroxymandelate oxidase	1.1.3.46
K16423	(S)-3,5-dihydroxyphenylglycine transaminase	2.6.1.103
K16424	3,5-dihydroxyphenylacetyl-CoA synthase	2.3.1.246
K16425	isomerase DpgB
K16426	dehydration protein DpgD
K16427	(3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase	1.13.11.80
K16428	nonribosomal peptide synthetase CepA
K16429	nonribosomal peptide synthetase CepB
K16430	nonribosomal peptide synthetase CepC
K16431	FAD-dependent halogenase	1.14.19.-
K16432	nonribosomal peptide synthetase CepK
K16433	hydroxylation protein CepL
K16434	thioesterase CepJ
K16435	dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase	4.2.1.159
K16436	dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose/dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose/dTDP-2,6-dideoxy-D-kanosamine transaminase	2.6.1.- 2.6.1.106
K16437	methylation protein EvaC
K16438	5-epimerase	5.1.3.-
K16439	reductase EvaE
K16440	chloroorienticin B synthase	2.4.1.311
K16442	glycosyltransferase GtfC
K16443	desvancosaminyl-vancomycin vancosaminetransferase	2.4.1.322
K16444	vancomycin aglycone glucosyltransferase	2.4.1.310
K16445	oxidation protein CepE
K16446	oxidation protein CepF
K16447	oxidation protein CepG
K16448	methylation protein MtfA
K16449	regulator of G-protein signaling
K16450	mycolactone core lactone polyketide synthase MlsA2
K16451	metalloproteinase inhibitor 1
K16452	coiled-coil domain-containing protein 92
K16453	centrosomal protein CEP110
K16454	centriole, cilia and spindle-associated protein
K16455	centrosomal protein CEP41
K16456	centrosomal protein CEP55
K16457	centrosomal protein CEP76
K16458	centrosomal protein CEP104
K16459	centrosomal protein CEP120
K16460	centrosomal protein CEP128
K16461	centrosomal protein CEP135
K16462	centrosomal protein CEP164
K16463	centrosomal protein CEP170
K16464	centrosomal protein CEP250
K16465	centrin-1
K16466	centrin-3
K16467	centlein
K16468	centrobin
K16469	rootletin
K16470	zinc finger protein DZIP1
K16471	Fas-binding factor 1
K16472	hydrolethalus syndrome protein 1
K16473	intraflagellar transport protein 20
K16474	intraflagellar transport protein 88
K16475	leucine-rich repeat and coiled-coil domain-containing protein 1
K16476	ninein
K16477	ninein-like protein
K16478	nephrocystin-4
K16479	outer dense fiber protein 2
K16480	oral-facial-digital syndrome 1 protein
K16481	pericentrin
K16482	centriolar protein POC1
K16483	centrosomal protein POC5
K16484	rotatin
K16485	spindle assembly abnormal protein 4
K16486	spindle assembly abnormal protein 5
K16487	spindle assembly abnormal protein 6
K16488	serologically defined colon cancer antigen 8
K16489	protein SFI1
K16490	spindle and centriole-associated protein 1
K16491	StAR-related lipid transfer protein 9
K16492	testis-specific serine kinase substrate
K16493	protocadherin alpha
K16494	protocadherin beta
K16495	protocadherin gamma subfamily A
K16496	protocadherin gamma subfamily B
K16497	protocadherin gamma subfamily C
K16498	protocadherin delta 1
K16499	protocadherin delta 2
K16500	protocadherin-15
K16501	cadherin-related family member 1
K16502	cadherin-related family member 2
K16503	cadherin-related family member 3
K16504	cadherin-related family member 4
K16505	cadherin-related family member 5
K16506	protocadherin Fat 1/2/3
K16507	protocadherin-16/23
K16509	regulatory protein spx
K16510	ribosomal protein S6 kinase alpha-4	2.7.11.1
K16511	adapter protein MecA 1/2
K16512	X-linked retinitis pigmentosa GTPase regulator-interacting protein 1
K16513	carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein
K16514	4-oxalomesaconate tautomerase	5.3.2.8
K16515	4-oxalomesaconate hydratase	4.2.1.83
K16516	LysR family transcriptional regulator, regulator for genes of the gallate degradation pathway
K16517	porin-like protein GalP
K16518	A-kinase anchor protein 1, mitochondrial
K16519	A-kinase anchor protein 2
K16520	A-kinase anchor protein 3
K16521	A-kinase anchor protein 4
K16522	A-kinase anchor protein 5
K16523	A-kinase anchor protein 6
K16524	A-kinase anchor protein 7
K16525	A-kinase anchor protein 8
K16526	A-kinase anchor protein 10
K16527	A-kinase anchor protein 11
K16528	A-kinase anchor protein 12
K16529	A-kinase anchor protein 13
K16530	A-kinase anchor protein 14
K16531	Bardet-Biedl syndrome 4 protein
K16532	centrosomal protein CEP72
K16533	centrosomal protein CEP290
K16534	disrupted in schizophrenia 1 protein
K16535	lisH domain-containing protein FOPNL
K16536	protein HOOK3
K16537	pericentriolar material 1 protein
K16538	progesterone-induced-blocking factor 1
K16539	centrosomal protein kizuna
K16540	5-azacytidine-induced protein 1
K16541	coiled-coil domain-containing protein 14
K16542	CDK5 regulatory subunit-associated protein 2
K16543	centrosomal protein CEP89
K16544	centrosomal protein CEP95
K16545	phospholipase DDHD2	3.1.1.-
K16546	FGFR1 oncogene partner
K16547	protein NEDD1
K16548	ornithine decarboxylase antizyme 1
K16549	myomegalin
K16550	protein fantom
K16551	A-kinase anchor protein 9
K16552	polysaccharide biosynthesis/export protein ExoF
K16553	succinoglycan exporter
K16554	polysaccharide biosynthesis transport protein
K16555	succinoglycan biosynthesis protein ExoO	2.4.-.-
K16556	succinoglycan biosynthesis protein ExoM	2.4.-.-
K16557	succinoglycan biosynthesis protein ExoA	2.4.-.-
K16558	succinoglycan biosynthesis protein ExoL	2.-.-.-
K16559	endo-1,3-1,4-beta-glycanase ExoK	3.2.1.-
K16560	succinoglycan biosynthesis protein ExoH
K16561	succinoglycan biosynthesis protein ExoI
K16562	succinoglycan biosynthesis protein ExoW	2.4.-.-
K16563	succinoglycan biosynthesis protein ExoV
K16564	succinoglycan biosynthesis protein ExoU	2.4.-.-
K16565	exopolysaccharide production repressor protein
K16566	exopolysaccharide production protein ExoY
K16567	exopolysaccharide production protein ExoQ
K16568	exopolysaccharide production protein ExoZ
K16569	gamma-tubulin complex component 2
K16570	gamma-tubulin complex component 3
K16571	gamma-tubulin complex component 4
K16572	gamma-tubulin complex component 5
K16573	gamma-tubulin complex component 6
K16574	mitotic-spindle organizing protein 2A/2B
K16575	centractin
K16576	actin-related protein 10
K16578	CLIP-associating protein 1/2
K16579	neuronal migration protein doublecortin
K16580	SLAIN motif-containing protein 1/2
K16581	tubulin polyglutamylase complex subunit 1
K16582	tubulin polyglutamylase TTLL6/13	6.-.-.-
K16583	tubulin polyglutamylase TTLL7	6.-.-.-
K16584	HAUS augmin-like complex subunit 1
K16585	HAUS augmin-like complex subunit 2
K16586	HAUS augmin-like complex subunit 3
K16587	HAUS augmin-like complex subunit 4
K16588	HAUS augmin-like complex subunit 5
K16589	HAUS augmin-like complex subunit 6
K16590	HAUS augmin-like complex subunit 7
K16591	HAUS augmin-like complex subunit 8
